Province/State	Country/Region	Last Update	Confirmed	Deaths	Recovered
South Carolina	US	3/30/2020 22:52	3	0	0
Louisiana	US	3/30/2020 22:52	11	1	0
Virginia	US	3/30/2020 22:52	6	0	0
Idaho	US	3/30/2020 22:52	113	2	0
Iowa	US	3/30/2020 22:52	1	0	0
Kentucky	US	3/30/2020 22:52	0	0	0
Missouri	US	3/30/2020 22:52	1	0	0
Oklahoma	US	3/30/2020 22:52	4	0	0
Colorado	US	3/30/2020 22:52	110	0	0
Idaho	US	3/30/2020 22:52	0	0	0
Illinois	US	3/30/2020 22:52	2	0	0
Indiana	US	3/30/2020 22:52	1	0	0
Iowa	US	3/30/2020 22:52	0	0	0
Mississippi	US	3/30/2020 22:52	7	0	0
Nebraska	US	3/30/2020 22:52	3	0	0
North Dakota	US	3/30/2020 22:52	0	0	0
Ohio	US	3/30/2020 22:52	0	0	0
Pennsylvania	US	3/30/2020 22:52	8	0	0
Washington	US	3/30/2020 22:52	7	0	0
Wisconsin	US	3/30/2020 22:52	0	0	0
Vermont	US	3/30/2020 22:52	17	0	0
South Carolina	US	3/30/2020 22:52	9	0	0
Minnesota	US	3/30/2020 22:52	0	0	0
Florida	US	3/30/2020 22:52	79	0	0
North Carolina	US	3/30/2020 22:52	7	0	0
California	US	3/30/2020 22:52	283	7	0
Colorado	US	3/30/2020 22:52	1	0	0
New York	US	3/30/2020 22:52	217	1	0
Wyoming	US	3/30/2020 22:52	1	0	0
Virginia	US	3/30/2020 22:52	19	0	0
Michigan	US	3/30/2020 22:52	0	0	0
Mississippi	US	3/30/2020 22:52	0	0	0
Alaska	US	3/30/2020 22:52	0	0	0
Alaska	US	3/30/2020 22:52	0	0	0
Illinois	US	3/30/2020 22:52	0	0	0
North Carolina	US	3/30/2020 22:52	1	0	0
Virginia	US	3/30/2020 22:52	26	0	0
Oklahoma	US	3/30/2020 22:52	0	0	0
Michigan	US	3/30/2020 22:52	0	0	0
Iowa	US	3/30/2020 22:52	7	1	0
Michigan	US	3/30/2020 22:52	2	0	0
Maryland	US	3/30/2020 22:52	0	0	0
New York	US	3/30/2020 22:52	7	0	0
North Carolina	US	3/30/2020 22:52	2	0	0
Virginia	US	3/30/2020 22:52	1	0	0
Pennsylvania	US	3/30/2020 22:52	290	2	0
Indiana	US	3/30/2020 22:52	28	1	0
Kansas	US	3/30/2020 22:52	0	0	0
Kentucky	US	3/30/2020 22:52	1	0	0
Louisiana	US	3/30/2020 22:52	11	0	0
